Blank1,Blank2,Cab Number,Lat,Long,All counties,Fibre Services Live,Fibre Build Commenced,Fibre Services Planned,cab message
,,KOK2_002,53.400652,-6.667481,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_003,53.397856,-6.672748,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_004,53.3974,-6.672259,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_005,53.401383,-6.669309,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_006,53.396306,-6.668856,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_008,53.401933,-6.67793,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_014,53.393489,-6.671142,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_015,53.392133,-6.66915,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_016,53.395154,-6.683139,,3,,,Fibre Broadband Cabinet is Live 
,,KOK2_017,53.407399,-6.675,,1,,,Fibre Broadband Cabinet is planned for this location
,,KOK2_018,53.407305,-6.670715,,1,,,Fibre Broadband Cabinet is planned for this location
,,KOK2_019,53.396785,-6.663075,,1,,,Fibre Broadband Cabinet is planned for this location
,,KRG1_001,52.108112,-9.779659,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_002,52.099211,-9.784822,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_003,52.10595,-9.79153,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_004,52.110517,-9.793908,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_005,52.116419,-9.786286,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_006,52.104552,-9.799518,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_007,52.105959,-9.781166,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_008,52.104236,-9.787336,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_009,52.097145,-9.788478,,3,,,Fibre Broadband Cabinet is Live 
,,KRG1_E01,52.107948,-9.78839,,1,,,Fibre Broadband Cabinet is planned for this location
,,KRH1_001,52.632892,-9.491518,,2,,,Fibre Build commenced - completion work is in progress
,,KRH1_002,52.641433,-9.482776,,2,,,Fibre Build commenced - completion work is in progress
,,KRH1_003,52.638242,-9.480369,,2,,,Fibre Build commenced - completion work is in progress
,,KRH1_004,52.633954,-9.480277,,2,,,Fibre Build commenced - completion work is in progress
,,KRH1_005,52.635939,-9.498441,,2,,,Fibre Build commenced - completion work is in progress
,,KRH1_006,52.637175,-9.48995,,2,,,Fibre Build commenced - completion work is in progress
,,KRH1_E01,52.641298,-9.488208,,1,,,Fibre Broadband Cabinet is planned for this location
,,KSA1_E01,54.012966,-7.530593,,1,,,Fibre Broadband Cabinet is planned for this location
,,KSH1_001,52.774522,-6.180061,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_001,51.702963,-8.502953,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_002,51.706663,-8.515861,,3,,,Fibre Broadband Cabinet is Live 
,,KSL1_003,51.7087,-8.517528,,3,,,Fibre Broadband Cabinet is Live 
